origin_lga,dest_lga,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon,n_trips,n_devices,avg_distance_km,pct_weekday,pct_weekday_am_peak,pct_weekday_pm_peak,pct_weekend,pct_weekend_am_peak,pct_weekend_pm_peak
Ararat,Boroondara,Willaura,Central Highlands,-37.3421549464959,142.9142393540242,Kew East,Melbourne,-37.82287315293132,145.05963609635518,12647,4243,196.45699882455423,69.17055428164782,14.327508500039535,2.7753617458685853,30.829445718352176,6.68933343876018,1.0674468253340712
Yarriambiack,Melbourne,Patchewollock,Wimmera,-36.25025723993989,142.46577228732647,Southbank,Melbourne,-37.81361503191175,144.9567973261259,12642,3825,281.25213513104035,72.68628381585192,16.397721879449453,2.9742129409903497,27.313716184148078,5.450087011548805,1.0124980224648
Casey,Indigo,Lynbrook,Melbourne,-38.05979577052403,145.30002452714226,Barnawartha,High Country,-36.20557771357384,146.69736456603127,12619,3662,240.52150953349374,68.11950233774468,14.787225612172122,3.3203898882637293,31.88049766225533,6.300023773674618,1.5056660591172042
Hindmarsh,Northern Grampians,Dimboola,Wimmera,-36.31750146714296,141.82984002595003,Halls Gap,Central Highlands,-36.976577531598714,142.82770943720857,12603,6066,115.30792235393355,73.37935412203443,12.647782274061731,2.515274141077521,26.620645877965565,4.538601920177735,0.6030310243592796
Monash,Swan Hill,Glen Waverley,Melbourne,-37.89728696736875,145.1372060686583,Piangil,Mallee,-35.21981010945133,143.40895947635028,12602,3146,335.3413489719144,72.55197587684495,15.283288366925884,3.4518330423742265,27.448024123155058,5.967306776702111,0.8808125694334232
Horsham,Kingston (Vic.),Horsham,Western Grampians,-36.72607356179029,142.19453625314452,Moorabbin,Melbourne,-37.9903389839083,145.0955422316942,12597,2860,292.3912211285725,70.63586568230531,15.098833055489402,2.699055330634278,29.364134317694692,6.215765658490117,1.0240533460347703
Mount Alexander,Hobsons Bay,Baringhup,Bendigo Loddon,-37.0586987197156,144.23384889363635,Spotswood,Melbourne,-37.85356511810348,144.8386623163088,12591,3947,103.25630659675906,64.29195457072512,13.406401397823842,2.414423000555953,35.708045429274875,7.537129695814471,0.921292987054245
Greater Dandenong,Benalla,Dandenong South,Melbourne,-37.98494274359324,145.18828325174346,Benalla,High Country,-36.55001680847989,145.99286983902664,12564,4368,174.71905779735644,76.08245781598217,15.393186883158231,3.677172874880611,23.91754218401783,5.412289079910856,0.9630690862782553
Hepburn,Darebin,Daylesford,Spa Country,-37.347546002481,144.06228219784037,Preston (Vic.),Melbourne,-37.73735356736465,145.0080486614528,12555,3986,93.97711533216398,60.31859816806053,14.026284348864996,2.0230983671843887,39.68140183193947,7.184388689765034,1.1947431302270013
Indigo,Wyndham,Beechworth,High Country,-36.20557771357384,146.69736456603127,Tarneit,Melbourne,-37.880242042143955,144.68509738538478,12553,4580,258.00239458536436,71.05074484187047,14.291404445152553,4.070740062136541,28.94925515812953,6.23755277622879,1.0754401338325499
Maribyrnong,Strathbogie,Yarraville,Melbourne,-37.7939409789262,144.8815601628791,Bailieston,Goulburn,-36.783789547174315,145.39165623925777,12536,4760,121.04885055627332,70.76419910657307,14.326738991703895,3.1589023611997447,29.235800893426934,5.615826419910657,1.1726228462029356
Moira,Maribyrnong,Katunga,Central Murray,-36.0172158101163,145.67529156599454,Seddon (Vic.),Melbourne,-37.7939409789262,144.8815601628791,12531,3468,209.78721309016984,67.05769691165908,14.276594046764025,2.569627324235895,32.942303088340914,6.623573537626686,1.23693240762908
Alpine,Moonee Valley,Bright (Vic.),High Country,-36.68935497217605,146.9374192928282,Strathmore (Vic.),Melbourne,-37.750258760350675,144.89778570792996,12496,2886,215.7079475344168,62.323943661971825,12.363956466069142,2.80089628681178,37.67605633802817,7.40236875800256,1.2644046094750319
Alpine,Bayside (Vic.),Tawonga,High Country,-36.68935497217605,146.9374192928282,Brighton (Vic.),Melbourne,-37.93621358551396,145.01540741538258,12480,2775,219.34146813112972,64.30288461538461,12.099358974358974,2.7564102564102564,35.69711538461539,6.794871794871795,1.233974358974359
