origin_lga,dest_lga,hour_of_day,day_type,peak_period,n_trips,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon
Ballarat,Melbourne,0,Weekday,Off_Peak,626,Wendouree,Ballarat,-37.561288039129316,143.84125606621114,Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,0,Weekend,Off_Peak,232,Lucas,Ballarat,-37.561288039129316,143.84125606621114,Parkville (Vic.),Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,1,Weekday,Off_Peak,653,Lucas,Ballarat,-37.561288039129316,143.84125606621114,Kensington (Vic.),Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,1,Weekend,Off_Peak,250,Lucas,Ballarat,-37.561288039129316,143.84125606621114,Kensington (Vic.),Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,2,Weekend,Off_Peak,233,Newington (Vic.),Ballarat,-37.561288039129316,143.84125606621114,North Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,2,Weekday,Off_Peak,688,Ballarat East,Ballarat,-37.561288039129316,143.84125606621114,Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,3,Weekend,Off_Peak,222,Wendouree,Ballarat,-37.561288039129316,143.84125606621114,Port Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,3,Weekday,Off_Peak,765,Newington (Vic.),Ballarat,-37.561288039129316,143.84125606621114,Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,4,Weekday,Off_Peak,793,Ballarat Central,Ballarat,-37.561288039129316,143.84125606621114,Kensington (Vic.),Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,4,Weekend,Off_Peak,302,Ballarat Central,Ballarat,-37.561288039129316,143.84125606621114,Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,5,Weekend,Off_Peak,288,Lucas,Ballarat,-37.561288039129316,143.84125606621114,Kensington (Vic.),Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,5,Weekday,Off_Peak,957,Ballarat Central,Ballarat,-37.561288039129316,143.84125606621114,Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,6,Weekend,Off_Peak,331,Wendouree,Ballarat,-37.561288039129316,143.84125606621114,Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,6,Weekday,Off_Peak,883,Ballarat Central,Ballarat,-37.561288039129316,143.84125606621114,Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,7,Weekday,AM_Peak,978,Canadian,Ballarat,-37.561288039129316,143.84125606621114,Southbank,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,7,Weekend,AM_Peak,363,Sebastopol (Vic.),Ballarat,-37.561288039129316,143.84125606621114,North Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,8,Weekend,AM_Peak,348,Newington (Vic.),Ballarat,-37.561288039129316,143.84125606621114,Kensington (Vic.),Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,8,Weekday,AM_Peak,1018,Wendouree,Ballarat,-37.561288039129316,143.84125606621114,Melbourne,Melbourne,-37.81112228169855,144.95439503242488
Ballarat,Melbourne,9,Weekend,AM_Peak,425,Lucas,Ballarat,-37.561288039129316,143.84125606621114,Kensington (Vic.),Melbourne,-37.81112228169855,144.95439503242488
