origin_lga,dest_lga,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon,n_trips,n_devices,avg_distance_km,pct_weekday,pct_weekday_am_peak,pct_weekday_pm_peak,pct_weekend,pct_weekend_am_peak,pct_weekend_pm_peak
Horsham,Cardinia,Horsham,Western Grampians,-36.72327426128316,142.19247246514456,Pakenham,Yarra Valley and the Dandenong Ranges,-38.06715044710119,145.4689113551805,329,191,325.71128598021966,77.81155015197568,19.756838905775076,2.43161094224924,22.188449848024316,6.990881458966565,1.5197568389057752
Monash,Alpine,Oakleigh South,Melbourne,-37.895962260439134,145.1358495139286,Bright (Vic.),High Country,-36.690262323461276,146.94768450330668,328,227,208.94792470902053,60.0609756097561,8.231707317073171,2.7439024390243905,39.9390243902439,4.573170731707317,1.2195121951219512
Merri-bek,Central Goldfields,Coburg,Melbourne,-37.734555271295385,144.9454216976057,Maryborough (Vic.),Bendigo Loddon,-37.02905323881371,143.74290351092444,328,199,132.0706699799222,77.13414634146342,12.5,1.8292682926829267,22.865853658536587,5.182926829268292,3.048780487804878
Ballarat,Wodonga,Ballarat Central,Ballarat,-37.561288039129316,143.84125606621114,Leneva,Murray East,-36.13000861559989,146.88124164163418,328,129,313.8289903928294,71.03658536585365,11.890243902439025,0.6097560975609756,28.96341463414634,7.01219512195122,0.3048780487804878
Swan Hill,Monash,Swan Hill,Mallee,-35.22944126996841,143.41749828035876,Glen Waverley,Melbourne,-37.895962260439134,145.1358495139286,327,205,333.84957841157814,74.92354740061162,11.314984709480122,3.3639143730886847,25.076452599388375,4.587155963302752,0.3058103975535168
Strathbogie,Casey,Euroa,Goulburn,-36.784768692435414,145.38652415301266,Berwick,Melbourne,-38.06111031151929,145.30117652760546,327,208,142.12267311700433,70.03058103975535,13.149847094801222,0.9174311926605505,29.96941896024465,2.1406727828746175,0.9174311926605505
Baw Baw,Greater Shepparton,Piedmont,Gippsland,-38.13930722747895,145.95367686001762,Congupna,Goulburn,-36.389249928075884,145.38203467053052,326,186,201.06392533214168,75.15337423312883,12.576687116564417,1.2269938650306749,24.846625766871167,3.067484662576687,0.9202453987730062
Kingston (Vic.),Moira,Cheltenham (Vic.),Melbourne,-37.98940103893782,145.09376582138896,Strathmerton,Central Murray,-36.012756256772704,145.66977243213532,326,165,225.66486388974457,74.84662576687117,8.588957055214724,2.7607361963190185,25.153374233128833,4.601226993865031,1.8404907975460123
Mansfield,Kingston (Vic.),Mansfield (Vic.),High Country,-37.0783858520291,146.0652756768719,Mentone,Melbourne,-37.98940103893782,145.09376582138896,325,153,132.66378807766088,82.15384615384616,12.615384615384615,1.8461538461538463,17.846153846153847,2.4615384615384617,0.0
Greater Shepparton,Wodonga,Arcadia (Vic.),Goulburn,-36.389249928075884,145.38203467053052,Wodonga,Murray East,-36.13000861559989,146.88124164163418,322,196,137.4756659255873,80.12422360248446,9.316770186335404,1.5527950310559007,19.875776397515526,2.484472049689441,0.0
Pyrenees,Knox,Amphitheatre,Ballarat,-37.384342837390406,143.41865683282327,Wantirna,Melbourne,-37.87935573451447,145.24961212130876,322,81,170.36823384015472,75.46583850931677,6.521739130434782,6.211180124223603,24.53416149068323,7.763975155279502,0.0
Indigo,Stonnington,Chiltern,High Country,-36.20375467405744,146.6957856753843,Toorak,Melbourne,-37.853919746325715,145.02111387375666,322,221,236.14425277646512,69.87577639751554,9.006211180124224,2.1739130434782608,30.124223602484474,4.037267080745342,0.9316770186335404
Hume,Loddon,Craigieburn,Melbourne,-37.615969590974,144.88136462221786,Painswick,Bendigo Loddon,-36.4550804760836,143.92631495641191,322,104,154.43002521740732,79.8136645962733,23.91304347826087,0.6211180124223602,20.18633540372671,5.279503105590062,0.3105590062111801
Mornington Peninsula,Benalla,Blairgowrie,Peninsula,-38.287997170251494,145.02657685054575,Benalla,High Country,-36.547081151597965,145.99153183099918,321,98,211.5049118190345,78.50467289719626,13.084112149532709,13.395638629283487,21.49532710280374,2.803738317757009,0.3115264797507788
West Wimmera,Brimbank,Miram,Western Grampians,-36.726283868785075,141.30425333561487,Calder Park,Melbourne,-37.75022702710584,144.79610934963873,321,110,329.39205743530215,76.63551401869158,11.838006230529595,0.3115264797507788,23.364485981308412,8.411214953271028,2.4922118380062304
Mildura,Southern Grampians,Red Cliffs,Mallee,-34.25696924119131,142.1217570104949,Tabor,Western Grampians,-37.70548900510929,142.034328316408,321,141,383.53852683808805,73.20872274143302,10.59190031152648,1.8691588785046727,26.791277258566975,5.919003115264798,0.6230529595015576
Casey,Strathbogie,Endeavour Hills,Melbourne,-38.06111031151929,145.30117652760546,Mangalore (Vic.),Goulburn,-36.784768692435414,145.38652415301266,320,209,142.12267311700435,67.5,9.375,3.125,32.5,3.4375000000000004,0.625
